eval_split,image_path,cache_path,file_stem,traffic_type,variant,hardware_source,label,assigned_q,cache_sha256,cache_sha256_runtime,trufor_score,native_height,native_width,map_min,map_max,map_mean,map_path,inference_status,condition,preprocessing,checkpoint_sha256,run_tag,clean_prediction,clean_correct,frozen_threshold
official_test,test/bonafide/scan/singapore-flickr_M_24170605047_501e882ccc_o.jpg,data/processed/policy_c_official_test/test/bonafide/scan/singapore-flickr_M_24170605047_501e882ccc_o.jpg,singapore-flickr_M_24170605047_501e882ccc_o,bonafide,,scan,0,51,88aaff9afdb9ad95cdcb02167af39867e6f2911aba1f77e0ffd271dc382f9c2d,88aaff9afdb9ad95cdcb02167af39867e6f2911aba1f77e0ffd271dc382f9c2d,0.8006272315979004,1248,1995,0.0065715117380023,0.991668701171875,0.1851719319820404,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/scan/singapore-flickr_M_24170605047_501e882ccc_o.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
dev_val,train/bonafide/huawei/french-NF-1082.jpg,data/processed/policy_c/train/bonafide/huawei/french-NF-1082.jpg,french-NF-1082,bonafide,,huawei,0,71,f17e2f02edc283002ffb192836b7a76cf36110d35690fffa5fd4f4ce97e6b907,f17e2f02edc283002ffb192836b7a76cf36110d35690fffa5fd4f4ce97e6b907,0.8000162243843079,1971,3207,0.495826780796051,0.9744347929954528,0.9057973623275756,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/bonafide/huawei/french-NF-1082.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
official_test,test/bonafide/scan/singapore-flickr_M_22942161980_136669b7da_c.jpg,data/processed/policy_c_official_test/test/bonafide/scan/singapore-flickr_M_22942161980_136669b7da_c.jpg,singapore-flickr_M_22942161980_136669b7da_c,bonafide,,scan,0,89,985301f66edb95830664108510af2168a1ded7a481f6cf354b383c1a9a9f13e2,985301f66edb95830664108510af2168a1ded7a481f6cf354b383c1a9a9f13e2,0.798477053642273,1248,1995,0.0071324724704027,0.9941049814224244,0.1708022356033325,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/scan/singapore-flickr_M_22942161980_136669b7da_c.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
official_test,test/bonafide/huawei/chinese2-flickr_F_17773666675_1bdbd28a62_c.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_17773666675_1bdbd28a62_c.jpg,chinese2-flickr_F_17773666675_1bdbd28a62_c,bonafide,,huawei,0,57,a5e324eefb5c3152480763a78207ef347202636d84e949a3e7e188c1f2499993,a5e324eefb5c3152480763a78207ef347202636d84e949a3e7e188c1f2499993,0.7963931560516357,2035,3218,0.2426076829433441,0.9892371296882628,0.8681752681732178,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/huawei/chinese2-flickr_F_17773666675_1bdbd28a62_c.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
dev_val,train/bonafide/scan/arabic-024_03.jpg,data/processed/policy_c/train/bonafide/scan/arabic-024_03.jpg,arabic-024_03,bonafide,,scan,0,74,01bf0d1afca29a697acd2f0893b1d4420c87793e6c968b2375b1ac0e009bf89e,01bf0d1afca29a697acd2f0893b1d4420c87793e6c968b2375b1ac0e009bf89e,0.7962162494659424,1244,2003,0.000810760364402,0.9916398525238036,0.0580115690827369,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/bonafide/scan/arabic-024_03.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
official_test,test/bonafide/scan/chinese2-flickr_M_32771950686_f8d5084d87_h.jpg,data/processed/policy_c_official_test/test/bonafide/scan/chinese2-flickr_M_32771950686_f8d5084d87_h.jpg,chinese2-flickr_M_32771950686_f8d5084d87_h,bonafide,,scan,0,60,2bf89f114a59e721bacde3caccd8aac8c16ba896b976424130cad8457e486b18,2bf89f114a59e721bacde3caccd8aac8c16ba896b976424130cad8457e486b18,0.7958990335464478,1246,2001,0.0140643548220396,0.9906435608863832,0.3704432845115661,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/scan/chinese2-flickr_M_32771950686_f8d5084d87_h.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
dev_val,train/bonafide/scan/arabic-NF-1098.jpg,data/processed/policy_c/train/bonafide/scan/arabic-NF-1098.jpg,arabic-NF-1098,bonafide,,scan,0,90,92cf65c34a5c3e81f4640f9971316095201d7d52e23a4f13cc9f1d7e5592a80d,92cf65c34a5c3e81f4640f9971316095201d7d52e23a4f13cc9f1d7e5592a80d,0.7830517888069153,1248,2000,0.0006131523987278,0.9985404014587402,0.0404630675911903,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/bonafide/scan/arabic-NF-1098.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
dev_val,train/bonafide/huawei/chinese-001_03.jpg,data/processed/policy_c/train/bonafide/huawei/chinese-001_03.jpg,chinese-001_03,bonafide,,huawei,0,77,6175cde11881c5f4ab0179574203fca428e98a26ce8d5157e09aa06e9437d9ad,6175cde11881c5f4ab0179574203fca428e98a26ce8d5157e09aa06e9437d9ad,0.7690346240997314,1962,3193,0.0060488642193377,0.998397409915924,0.1473680883646011,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/bonafide/huawei/chinese-001_03.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
official_test,test/bonafide/scan/singapore-flickr_M_31226135201_5aa42a5a13_c.jpg,data/processed/policy_c_official_test/test/bonafide/scan/singapore-flickr_M_31226135201_5aa42a5a13_c.jpg,singapore-flickr_M_31226135201_5aa42a5a13_c,bonafide,,scan,0,62,e6fe9e4e0138a3fab881b7b66734353a14d5d36bc0b5cf4ae04bce2166135773,e6fe9e4e0138a3fab881b7b66734353a14d5d36bc0b5cf4ae04bce2166135773,0.7562283873558044,1246,1994,0.0041548013687133,0.9944202303886414,0.1840966641902923,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/scan/singapore-flickr_M_31226135201_5aa42a5a13_c.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
official_test,test/bonafide/scan/singapore-flickr_M_30518529884_4cf8f091df_c.jpg,data/processed/policy_c_official_test/test/bonafide/scan/singapore-flickr_M_30518529884_4cf8f091df_c.jpg,singapore-flickr_M_30518529884_4cf8f091df_c,bonafide,,scan,0,85,f4326a253a30d78bfea33b5a1e953cdf827d12f09102e018a6a10dde96a8835b,f4326a253a30d78bfea33b5a1e953cdf827d12f09102e018a6a10dde96a8835b,0.7558572292327881,1246,1995,0.0043546659871935,0.9950586557388306,0.1646338403224945,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/scan/singapore-flickr_M_30518529884_4cf8f091df_c.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
official_test,test/bonafide/huawei/netherland-flickr_M_37190718595_78e318623b_k.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/netherland-flickr_M_37190718595_78e318623b_k.jpg,netherland-flickr_M_37190718595_78e318623b_k,bonafide,,huawei,0,78,192aaefe0f06d9467865da153179ac098badecbd4f44edc87ee5a6624c93cb9c,192aaefe0f06d9467865da153179ac098badecbd4f44edc87ee5a6624c93cb9c,0.7554799914360046,1986,3193,0.2953456044197082,0.9721431732177734,0.8637906908988953,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/huawei/netherland-flickr_M_37190718595_78e318623b_k.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
official_test,test/bonafide/scan/chinese2-flickr_M_6850649398_5d950a2635_k.jpg,data/processed/policy_c_official_test/test/bonafide/scan/chinese2-flickr_M_6850649398_5d950a2635_k.jpg,chinese2-flickr_M_6850649398_5d950a2635_k,bonafide,,scan,0,62,796cbc29dc502ba11286917ca4aaf6cb995147f890da1d2d70dec0fadb4543b1,796cbc29dc502ba11286917ca4aaf6cb995147f890da1d2d70dec0fadb4543b1,0.7518850564956665,1251,1995,0.0081559624522924,0.9857164025306702,0.3689842522144317,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/scan/chinese2-flickr_M_6850649398_5d950a2635_k.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
dev_val,train/bonafide/huawei/usa-NM-1038.jpg,data/processed/policy_c/train/bonafide/huawei/usa-NM-1038.jpg,usa-NM-1038,bonafide,,huawei,0,71,15b62626f10b4beb5c5dae05bfe6af0c235ced5482be096164dbd6a4cd0e0a6d,15b62626f10b4beb5c5dae05bfe6af0c235ced5482be096164dbd6a4cd0e0a6d,0.7516119480133057,1883,3043,0.1447635293006897,0.983542799949646,0.6799982190132141,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/bonafide/huawei/usa-NM-1038.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
official_test,test/bonafide/huawei/chinese2-flickr_F_16858102101_d4c5c1e7a2_c.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_16858102101_d4c5c1e7a2_c.jpg,chinese2-flickr_F_16858102101_d4c5c1e7a2_c,bonafide,,huawei,0,83,b34d0fc7a9c05f1d40ae5ee834f276edde26778725b2f15045b653bf621aa6bd,b34d0fc7a9c05f1d40ae5ee834f276edde26778725b2f15045b653bf621aa6bd,0.7418904900550842,2073,3253,0.1649727672338485,0.9852585792541504,0.8142433762550354,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/huawei/chinese2-flickr_F_16858102101_d4c5c1e7a2_c.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
dev_val,train/bonafide/huawei/usa-067_03.jpg,data/processed/policy_c/train/bonafide/huawei/usa-067_03.jpg,usa-067_03,bonafide,,huawei,0,65,24c1d07b3d14474bf2740d73d7073433be819580ee4033aac728b7584f6b4ed2,24c1d07b3d14474bf2740d73d7073433be819580ee4033aac728b7584f6b4ed2,0.7411681413650513,1905,3047,0.2317505031824112,0.981502890586853,0.6484687328338623,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/bonafide/huawei/usa-067_03.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
official_test,test/bonafide/iphone15/singapore-flickr_M_22512816725_a88536de72_c.jpg,data/processed/policy_c_official_test/test/bonafide/iphone15/singapore-flickr_M_22512816725_a88536de72_c.jpg,singapore-flickr_M_22512816725_a88536de72_c,bonafide,,iphone15,0,74,ac9c2e8b168198bb1056a0c22e44d29762d4cb6a13b5cef514ecfe546a750c79,ac9c2e8b168198bb1056a0c22e44d29762d4cb6a13b5cef514ecfe546a750c79,0.737618088722229,1745,2777,0.1913298964500427,0.9789480566978456,0.8544609546661377,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/iphone15/singapore-flickr_M_22512816725_a88536de72_c.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
official_test,test/bonafide/iphone15/netherland-flickr_M_21260956694_6fd7ae0222_k.jpg,data/processed/policy_c_official_test/test/bonafide/iphone15/netherland-flickr_M_21260956694_6fd7ae0222_k.jpg,netherland-flickr_M_21260956694_6fd7ae0222_k,bonafide,,iphone15,0,70,2057e41a5e642c676e01c55336bff1c0004d6b9cfe2e9ddd63ea26879cdf1764,2057e41a5e642c676e01c55336bff1c0004d6b9cfe2e9ddd63ea26879cdf1764,0.7314369678497314,1745,2777,0.2108875513076782,0.9624099731445312,0.854718029499054,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/iphone15/netherland-flickr_M_21260956694_6fd7ae0222_k.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
official_test,test/bonafide/scan/chinese2-flickr_F_16745558933_a3f9fe2bc9_k.jpg,data/processed/policy_c_official_test/test/bonafide/scan/chinese2-flickr_F_16745558933_a3f9fe2bc9_k.jpg,chinese2-flickr_F_16745558933_a3f9fe2bc9_k,bonafide,,scan,0,75,b6bf9aaccbc872e78769934a837367567184d1511bc59097b04b64e41d0516e0,b6bf9aaccbc872e78769934a837367567184d1511bc59097b04b64e41d0516e0,0.7265098094940186,1246,2001,0.0116340303793549,0.9947037100791932,0.2614288330078125,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/scan/chinese2-flickr_F_16745558933_a3f9fe2bc9_k.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
dev_val,train/bonafide/huawei/usa-034_03.jpg,data/processed/policy_c/train/bonafide/huawei/usa-034_03.jpg,usa-034_03,bonafide,,huawei,0,50,dc2dcec255a0b81698d3eb41b289b8b4ff7328bf3696f192f629b7cfa8b2fa28,dc2dcec255a0b81698d3eb41b289b8b4ff7328bf3696f192f629b7cfa8b2fa28,0.7251732349395752,1971,3199,0.1987942904233932,0.9836574196815492,0.6954800486564636,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/bonafide/huawei/usa-034_03.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
official_test,test/bonafide/huawei/singapore-flickr_F_9641749325_1a753f74b2_c.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/singapore-flickr_F_9641749325_1a753f74b2_c.jpg,singapore-flickr_F_9641749325_1a753f74b2_c,bonafide,,huawei,0,74,3acc4b6f3c38f3a37cb3fae8538185c0b8ff19f33f3b30891c992fedb168d2ef,3acc4b6f3c38f3a37cb3fae8538185c0b8ff19f33f3b30891c992fedb168d2ef,0.7251700758934021,1971,3172,0.2858441770076751,0.9885516166687012,0.8254433870315552,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/huawei/singapore-flickr_F_9641749325_1a753f74b2_c.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
dev_val,train/bonafide/huawei/arabic-NM-1090.jpg,data/processed/policy_c/train/bonafide/huawei/arabic-NM-1090.jpg,arabic-NM-1090,bonafide,,huawei,0,55,0c1ec3ce9214c014ba322d10472d47a691b3218307d095546013e3d38784cf73,0c1ec3ce9214c014ba322d10472d47a691b3218307d095546013e3d38784cf73,0.7210922837257385,1973,3189,0.0013437489978969,0.9971429705619812,0.3410850763320923,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/bonafide/huawei/arabic-NM-1090.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
dev_val,train/bonafide/huawei/usa-NF-1036.jpg,data/processed/policy_c/train/bonafide/huawei/usa-NF-1036.jpg,usa-NF-1036,bonafide,,huawei,0,69,4f98e79b7d90e26c3bd0f94134eb99f29578b421fbf08cafa96cb2bde7f2753b,4f98e79b7d90e26c3bd0f94134eb99f29578b421fbf08cafa96cb2bde7f2753b,0.72013920545578,1988,3211,0.0510071888566017,0.9878167510032654,0.5118187069892883,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/bonafide/huawei/usa-NF-1036.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
official_test,test/bonafide/scan/singapore-flickr_M_21893334161_8c8b011508_k.jpg,data/processed/policy_c_official_test/test/bonafide/scan/singapore-flickr_M_21893334161_8c8b011508_k.jpg,singapore-flickr_M_21893334161_8c8b011508_k,bonafide,,scan,0,54,cb139730addfcdd4cab225195e831f1922f0c5ec904de6efb99d50e5ea313ffd,cb139730addfcdd4cab225195e831f1922f0c5ec904de6efb99d50e5ea313ffd,0.7193664908409119,1248,1995,0.0116529455408453,0.9946008920669556,0.1826582998037338,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/scan/singapore-flickr_M_21893334161_8c8b011508_k.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
official_test,test/bonafide/iphone15/chinese2-flickr_F_39035705701_833f3da9bf_o.jpg,data/processed/policy_c_official_test/test/bonafide/iphone15/chinese2-flickr_F_39035705701_833f3da9bf_o.jpg,chinese2-flickr_F_39035705701_833f3da9bf_o,bonafide,,iphone15,0,59,304e4366546af786bb0ed7ed63a49060fb64ced92248afa73f7daed9f70219bd,304e4366546af786bb0ed7ed63a49060fb64ced92248afa73f7daed9f70219bd,0.7154825329780579,1750,2769,0.0425962843000888,0.9835611581802368,0.4175862967967987,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/iphone15/chinese2-flickr_F_39035705701_833f3da9bf_o.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
